gid,date_time_start,stadium,is_playoff,home_team,away_team,home_points,away_points
43025CLE,17/10/17 8:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Boston Celtics,102,99
43025GS,17/10/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Houston Rockets,121,122
43026DET,18/10/17 7:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Charlotte Hornets,102,90
43026IND,18/10/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Brooklyn Nets,140,131
43026ORL,18/10/17 7:00,Amway Center,FALSE,Orlando Magic,Miami Heat,116,109
43026WAS,18/10/17 7:00,Verizon Center,FALSE,Washington Wizards,Philadelphia 76ers,120,115
43026BOS,18/10/17 7:30,TD Garden,FALSE,Boston Celtics,Milwaukee Bucks,100,108
43026MEM,18/10/17 8:00,FedExForum,FALSE,Memphis Grizzlies,New Orleans Pelicans,103,91
43026DAL,18/10/17 8:30,American Airlines Center,FALSE,Dallas Mavericks,Atlanta Hawks,111,117
43026UTA,18/10/17 9:00,EnergySolutions Arena,FALSE,Utah Jazz,Denver Nuggets,106,96
43026SA,18/10/17 9:30,AT&T Center,FALSE,San Antonio Spurs,Minnesota Timberwolves,107,99
43026PHO,18/10/17 10:00,US Airways Center,FALSE,Phoenix Suns,Portland Trail Blazers,76,124
43026SAC,18/10/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Houston Rockets,100,105
43027TOR,19/10/17 7:30,Air Canada Centre,FALSE,Toronto Raptors,Chicago Bulls,117,101
43027OKC,19/10/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,New York Knicks,105,84
43027LAL,19/10/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Los Angeles Clippers,92,108
43028CHA,20/10/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Atlanta Hawks,109,91
43028IND,20/10/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Portland Trail Blazers,96,114
43028MIL,20/10/17 7:00,Bradley Center,FALSE,Milwaukee Bucks,Cleveland Cavaliers,97,116
43028PHI,20/10/17 7:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Boston Celtics,92,102
43028WAS,20/10/17 7:00,Verizon Center,FALSE,Washington Wizards,Detroit Pistons,115,111
43028BKN,20/10/17 7:30,Barclays Center,FALSE,Brooklyn Nets,Orlando Magic,126,121
43028MIN,20/10/17 8:00,Target Center,FALSE,Minnesota Timberwolves,Utah Jazz,100,97
43028DAL,20/10/17 8:30,American Airlines Center,FALSE,Dallas Mavericks,Sacramento Kings,88,93
43028NO,20/10/17 9:30,New Orleans Arena,FALSE,New Orleans Pelicans,Golden State Warriors,120,128
43028PHO,20/10/17 10:00,US Airways Center,FALSE,Phoenix Suns,Los Angeles Lakers,130,132
